start,end,dur,peak_energy,peak_zcr,kind,text_density,text_tag
5.6,5.9,0.3,0.2994,0.1338,energy_burst,13,文本中
6.1,6.5,0.4,0.2736,0.122,energy_burst,13,文本中
10.3,10.7,0.4,0.2243,0.152,energy_burst,8,文本弱
21.6,21.9,0.3,0.1891,0.2258,strong_anomaly,10,文本中
23.9,24.5,0.6,0.3754,0.4253,strong_anomaly,2,文本弱
28.6,29.4,0.8,0.3723,0.2645,strong_anomaly,11,文本中
31.2,32.1,0.9,0.3395,0.2577,strong_anomaly,9,文本中
37.6,37.9,0.3,0.2768,0.1457,energy_burst,6,文本弱
52.3,52.6,0.3,0.2251,0.1132,energy_burst,4,文本弱
53.0,53.3,0.3,0.1771,0.0894,energy_burst,4,文本弱
73.9,74.3,0.4,0.3014,0.3834,high_freq_burst,3,文本弱
87.4,87.8,0.4,0.2072,0.1839,energy_burst,3,文本弱
115.1,115.5,0.4,0.1581,0.1588,energy_burst,9,文本中
115.7,116.0,0.3,0.3199,0.1563,energy_burst,9,文本中
118.9,119.3,0.4,0.2049,0.2695,high_freq_burst,26,文本中
129.1,129.5,0.4,0.1799,0.2039,strong_anomaly,0,文本弱
217.7,218.0,0.3,0.132,0.0976,energy_burst,6,文本弱
225.9,226.2,0.3,0.189,0.1288,energy_burst,22,文本中
229.1,229.4,0.3,0.1633,0.1088,energy_burst,6,文本弱
239.7,240.2,0.5,0.144,0.1588,energy_burst,12,文本中
252.8,253.1,0.3,0.1772,0.1826,energy_burst,11,文本中
258.1,258.5,0.4,0.1963,0.2514,strong_anomaly,8,文本弱
264.5,264.8,0.3,0.1975,0.1976,energy_burst,6,文本弱
271.4,271.7,0.3,0.1416,0.2108,strong_anomaly,3,文本弱
292.8,293.5,0.7,0.2942,0.1176,energy_burst,6,文本弱
304.3,304.6,0.3,0.1829,0.207,strong_anomaly,4,文本弱
313.5,313.8,0.3,0.2728,0.2226,high_freq_burst,2,文本弱
315.9,316.2,0.3,0.2215,0.2589,strong_anomaly,10,文本中
327.5,328.4,0.9,0.2535,0.4003,strong_anomaly,5,文本弱
341.5,341.9,0.4,0.1852,0.2164,strong_anomaly,2,文本弱
343.4,343.7,0.3,0.1381,0.237,strong_anomaly,0,文本弱
396.1,396.4,0.3,0.1153,0.172,energy_burst,5,文本弱
410.2,411.3,1.1,0.2392,0.1388,energy_burst,7,文本弱
417.2,417.5,0.3,0.1425,0.3296,high_freq_burst,9,文本中
423.7,424.1,0.4,0.1795,0.1701,energy_burst,5,文本弱
428.3,428.8,0.5,0.2658,0.2639,high_freq_burst,5,文本弱
437.4,437.9,0.5,0.1985,0.147,energy_burst,0,文本弱
440.1,440.5,0.4,0.1734,0.0988,energy_burst,3,文本弱
441.1,441.7,0.6,0.2533,0.2114,strong_anomaly,5,文本弱
449.6,449.9,0.3,0.1807,0.0969,energy_burst,4,文本弱
451.7,452.0,0.3,0.1805,0.127,energy_burst,3,文本弱
452.3,452.8,0.5,0.1583,0.197,energy_burst,5,文本弱
461.2,461.5,0.3,0.2102,0.1357,energy_burst,5,文本弱
463.5,463.8,0.3,0.2596,0.3865,high_freq_burst,2,文本弱
464.4,464.9,0.5,0.2724,0.1639,energy_burst,4,文本弱
470.8,471.1,0.3,0.1782,0.3083,strong_anomaly,12,文本中
473.9,474.5,0.6,0.1914,0.3433,strong_anomaly,6,文本弱
475.0,475.3,0.3,0.2885,0.1395,energy_burst,3,文本弱
477.6,477.9,0.3,0.2625,0.1395,energy_burst,4,文本弱
492.4,492.7,0.3,0.1192,0.1288,energy_burst,7,文本弱
494.7,495.5,0.8,0.3435,0.2039,strong_anomaly,8,文本弱
497.7,498.0,0.3,0.3134,0.2489,high_freq_burst,5,文本弱
506.4,506.8,0.4,0.2271,0.1032,energy_burst,6,文本弱
511.2,511.7,0.5,0.2897,0.2164,strong_anomaly,0,文本弱
513.4,513.7,0.3,0.2121,0.3096,strong_anomaly,2,文本弱
519.2,519.5,0.3,0.1529,0.1395,energy_burst,7,文本弱
